NLab,Year,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
1800,2011-2012,8.0,Hembra,2.5,Adult,-30.43642332,Negativo,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,15.0,Si,Lob,Cronica,6.0,2.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,No,,Si,Positivo,Positivo
2307,2011-2012,25.5,Macho,5.5,Adult,4.4187661060000005,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,15.0,No,,,,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,Si,Positivo,Positivo
2314,2011-2012,26.0,Macho,2.5,Adult,-6.332943145,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,25.0,No,,,,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,0.0,0.0,No,,No,,Negativo
2367,2011-2012,23.0,Hembra,1.7,NonAdult,15.66705685,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,25.0,No,,,,1.0,,,,,,,,,,,,,,,,
1802,2011-2012,,Hembra,,,-17.40876693,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,25.0,Si,Lob,Subaguda,10.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,No,,Si,Positivo,Positivo
1777,2011-2012,24.0,Macho,0.7,NonAdult,-2.1949695769999997,Negativo,Negativo,Negativo,Positivo,InfActiva,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,25.0,No,,,,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,9.0,2.0,0.0,No,,No,,Negativo
2315,2011-2012,,Hembra,3.0,Adult,-3.974335216,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,25.0,No,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,Negativo
2397,2011-2012,23.0,Hembra,4.0,Adult,14.82911412,,,,,,,Positivo,Negativo,Negativo,Negativo,Positivo,35.0,No,,,,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,3.0,0.0,No,,,,
2313,2011-2012,26.0,Macho,4.0,Adult,-1.9915819119999998,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,35.0,No,,,,0.0,,,,,,,,,,,,,,,,
2353,2011-2012,17.0,Hembra,0.9,NonAdult,7.701550247,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Positivo,Positivo,35.0,No,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,,0.0,0.0,No,,No,,Negativo
1801,2011-2012,8.0,Macho,0.9,NonAdult,-23.51224711,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,Positivo,35.0,No,,,,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,No,,Si,Positivo,Positivo
2390,2011-2012,6.5,Macho,2.0,Adult,-0.760537859,Negativo,Negativo,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,35.0,No,,,,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,,1.0,3.0,Si,1,Si,Generalizada,Positivo
2386,2011-2012,6.5,Macho,1.5,NonAdult,11.66705685,Negativo,Negativo,Negativo,Negativo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Positivo,50.0,Si,NoLob,Subaguda,28.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,,0.0,0.0,No,,SI,Positivo,Positivo
2401,2011-2012,23.0,Macho,4.0,Adult,3.59807007,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Positivo,Positivo,55.0,No,,,,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,,0.0,0.0,No,,No,,Negativo
2402,2011-2012,23.0,Macho,3.0,Adult,-1.615727286,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,Positivo,55.0,No,,,,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,No,,No,,Negativo
1707,2011-2012,,Macho,0.6,NonAdult,-16.21221627,,,,,,,,,,,,,No,,,,0.0,,,,,,,,,,,,,,,,
1708,2011-2012,,Macho,1.4,NonAdult,3.6153167660000003,,,,,,,,,,,,,No,,,,0.0,,,,,,,,,,,,,,,,
1709,2011-2012,,Macho,2.5,Adult,9.273955532999999,,,,,,,,,,,,,No,,,,0.0,,,,,,,,,,,,,,,,
1710,2011-2012,,Hembra,2.5,Adult,1.239462141,,,,,,,,,,,,,Si,NoLob,Cronica,28.0,2.0,,,,,,,,,,,,,,,,
1711,2011-2012,,Macho,1.8,NonAdult,-9.905348432,,,,,,,,,,,,,No,,,,1.0,,,,,,,,,,,,,,,,
1720,2011-2012,,Macho,1.5,NonAdult,-5.136392485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,2011-2012,,Hembra,0.6,NonAdult,-12.67430438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,2011-2012,,Macho,0.5,NonAdult,-4.263956361,Negativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
