NLab,Year,Finca,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
2314,2011-2012,Campillo,26,Macho,2.5,Adult,-6.332943145,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,25,No,NA,NA,NA,0,1,0,0,4,0,0,1,0,NA,0,0,No,NA,No,NA,Negativo
2367,2011-2012,LasJaras,23,Hembra,1.7,NonAdult,15.66705685,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,25,No,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1802,2011-2012,CastilloVinuelas,NA,Hembra,NA,NA,-17.40876693,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,25,Si,Lob,Subaguda,10,1,0,0,0,4,0,0,0,0,4,1,0,No,NA,Si,Positivo,Positivo
1777,2011-2012,Elcristo,24,Macho,0.7,NonAdult,-2.194969577,Negativo,Negativo,Negativo,Positivo,InfActiva,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,25,No,NA,NA,NA,0,0,0,2,4,3,0,0,0,9,2,0,No,NA,No,NA,Negativo
2315,2011-2012,Monfrague,NA,Hembra,3,Adult,-3.974335216,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,25,No,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0,0,No,NA,No,NA,Negativo
2397,2011-2012,LasJaras,23,Hembra,4,Adult,14.82911412,NA,NA,NA,NA,NA,NA,Positivo,Negativo,Negativo,Negativo,Positivo,35,No,NA,NA,NA,1,0,0,0,5,0,0,0,0,NA,3,0,No,NA,NA,NA,NA
2313,2011-2012,Campillo,26,Macho,4,Adult,-1.991581912,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,35,No,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2353,2011-2012,Valdecasillas,17,Hembra,0.9,NonAdult,7.701550247,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Positivo,Positivo,35,No,NA,NA,NA,0,0,0,0,5,0,0,3,0,NA,0,0,No,NA,No,NA,Negativo
1801,2011-2012,Aceitunillas,8,Macho,0.9,NonAdult,-23.51224711,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,Positivo,35,No,NA,NA,NA,2,4,0,0,1,1,0,0,0,6,0,0,No,NA,Si,Positivo,Positivo
2390,2011-2012,TorricoSanPedro,6.5,Macho,2,Adult,-0.760537859,Negativo,Negativo,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,35,No,NA,NA,NA,0,0,0,0,5,4,0,0,0,NA,1,3,Si,1,Si,Generalizada,Positivo
2386,2011-2012,TorricoSanPedro,6.5,Macho,1.5,NonAdult,11.66705685,Negativo,Negativo,Negativo,Negativo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Positivo,50,Si,NoLob,Subaguda,28,1,0,0,2,3,3,0,0,0,NA,0,0,No,NA,SI,Positivo,Positivo
2401,2011-2012,LasJaras,23,Macho,4,Adult,3.59807007,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Positivo,Positivo,55,No,NA,NA,NA,0,0,0,0,2,4,0,1,0,NA,0,0,No,NA,No,NA,Negativo
2402,2011-2012,LasJaras,23,Macho,3,Adult,-1.615727286,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,Positivo,55,No,NA,NA,NA,1,1,0,4,0,0,0,1,0,NA,0,0,No,NA,No,NA,Negativo
1707,2011-2012,CastilloVinuelas,NA,Macho,0.6,NonAdult,-16.21221627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1708,2011-2012,CastilloVinuelas,NA,Macho,1.4,NonAdult,3.615316766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1709,2011-2012,CastilloVinuelas,NA,Macho,2.5,Adult,9.273955533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1710,2011-2012,CastilloVinuelas,NA,Hembra,2.5,Adult,1.239462141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,NoLob,Cronica,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1711,2011-2012,CastilloVinuelas,NA,Macho,1.8,NonAdult,-9.905348432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1720,2011-2012,Gavilanes,NA,Macho,1.5,NonAdult,-5.136392485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1721,2011-2012,Gavilanes,NA,Hembra,0.6,NonAdult,-12.67430438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
