Nlab;Sexo;Edad;Mhyo;ADV;SIV;HPS;APP;PCV;PM;Metastrongylus;NIntersticial;Bronconeumonia;Peribronquitis;Bronquitis;Necrosis;TB
2677;Macho;NA;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;Negativo;3;0;0;0;0;0;
2689;Hembra;2.5;NA;;Negativo;Negativo;Positivo;Negativo;Negativo;1;1;0;3;0;0;
2690;Hembra;4;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;1;0;0;0;0;0;
2691;Hembra;1.1;NA;;Negativo;Negativo;Positivo;Negativo;Negativo;0;0;0;5;2;0;
2692;Macho;2.5;NA;;Negativo;Negativo;Positivo;Negativo;Negativo;1;2;0;2;1;0;
2693;Macho;1.4;NA;;Negativo;Negativo;Positivo;Negativo;Negativo;6;0;0;4;0;0;
2694;Macho;1;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;78;0;0;0;0;0;
2697;Hembra;1;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;11;1;0;0;0;0;
2698;Macho;4;Positivo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;3;0;0;0;1;0;
2699;Macho;4;NA;;Negativo;Negativo;Positivo;Positivo;Negativo;20;0;0;0;0;0;
2718;Hembra;4;NA;;Positivo;Negativo;Negativo;Negativo;Negativo;1;1;0;0;0;0;
2742;Hembra;3;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;3;1;0;0;
2743;Hembra;4;NA;;Positivo;Negativo;Negativo;Negativo;Negativo;1;4;0;2;0;0;
2744;Hembra;4;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;5;0;0;0;0;0;
2745;Hembra;5;NA;;Positivo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2747;Macho;5;NA;;Positivo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2748;Macho;0.6;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;3;0;0;0;
2749;Hembra;0.6;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;0;1;0;4;0;0;
2751;Macho;0.6;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;0;2;0;1;0;0;
2771;Macho;0.3;NA;;Negativo;Positivo;Negativo;Negativo;Negativo;NA;1;0;1;0;0;
2784;Hembra;1.5;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;10;3;1;0;0;0;
2785;Hembra;3;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;25;1;0;2;0;0;
2786;Hembra;2;NA;;Positivo;Negativo;Negativo;Negativo;Negativo;8;0;0;1;0;0;
2788;Macho;1;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;3;0;0;
2789;Macho;2;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;3;0;1;0;0;0;
2791;Hembra;2.5;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;1;0;0;
2792;Hembra;2.2;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;1;1;0;1;0;0;
2793;Macho;3;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;1;1;0;0;0;0;
2794;Macho;1;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;0;1;0;0;
2796;Hembra;2.5;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;NA;1;0;1;0;0;
2799;Hembra;0.7;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;4;1;0;4;0;0;
2800;Hembra;0.9;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;3;4;0;0;
2802;Hembra;1.5;Positivo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;10;1;0;0;0;0;
2803;Hembra;2;Positivo;Negativo;Negativo;Negativo;Positivo;Negativo;Negativo;13;4;0;1;1;0;
2807;Hembra;4;Positivo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;6;0;0;3;0;0;
2808;Hembra;4;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;NA;3;0;0;0;0;
2809;Hembra;2;Negativo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;NA;4;0;2;0;0;
2814;Hembra;3.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;1;0;0;
2817;Hembra;1.2;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;0;1;6;2;0;0;
2818;Hembra;1.5;Positivo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;86;2;0;0;0;0;
2821;Hembra;1.3;Negativo;Positivo;Negativo;Negativo;Negativo;Positivo;Negativo;0;0;0;6;0;0;
2857;Macho;0.1;NA;;Negativo;Positivo;Negativo;Negativo;Negativo;NA;2;4;0;2;0;
2858;Hembra;0.1;NA;;Negativo;Positivo;Negativo;Negativo;Negativo;NA;4;6;2;0;0;
2860;Macho;0.1;NA;;Negativo;Positivo;Negativo;Negativo;Positivo;NA;2;5;0;0;0;
2861;Macho;0.1;NA;;Negativo;Positivo;Negativo;Negativo;Negativo;NA;2;0;0;0;0;
2862;Hembra;0.4;NA;;Negativo;Positivo;Negativo;Positivo;Negativo;NA;3;5;0;0;0;
